Cooler_cond,Valve_cond,pump_leakage,Hyd_accumulator,stable_flag,CE_median,CP_median,PS1_median,PS2_median,PS3_median,PS4_median,PS5_median,PS6_median,EPS1_median,FS1_median,FS2_median,SE_median,VS1_median,TS1_median,TS2_median,TS3_median,TS4_median
3,100,0,130,1,40.68,1.92,156.25,129.37,2.3,0,9.84,9.73,2479.8,7.84,10.33,68.51,0.58,35.57,40.96,38.5,31.58
3,100,0,130,1,25.39,1.23,156.06,129.38,2.27,0,9.63,9.53,2470,7.85,10.4,68.54,0.56,36.77,41.52,38.98,34.55
3,100,0,130,1,22.1,1.11,155.72,129.32,2.27,0,9.53,9.43,2457.4,7.85,10.37,68.85,0.56,38.02,42.42,39.63,35.63
3,100,0,130,1,20.48,1.07,155.56,128.87,2.24,0,9.44,9.34,2448,7.84,10.3,69.01,0.56,39.05,43.36,40.34,36.64
3,100,0,130,1,19.8,1.07,155.34,129,2.22,0,9.36,9.26,2440.6,7.83,10.24,69.01,0.58,39.97,44.34,41.34,37.44
3,100,0,130,1,19.16,1.07,155.23,128.93,2.21,0,9.3,9.21,2437.8,7.84,10.18,68.93,0.57,40.77,45.13,42.17,38.26
3,100,0,130,1,18.61,1.08,154.97,128.68,2.17,0,9.23,9.14,2431.6,7.82,10.14,69.11,0.57,41.57,45.95,42.9,38.93
3,100,0,130,1,18.17,1.08,154.91,128.72,2.16,0,9.19,9.11,2425.8,7.8,10.1,69.06,0.56,42.35,46.68,43.49,39.55
3,100,0,130,1,18.35,1.11,154.77,128.77,2.14,0,9.14,9.06,2421.6,7.79,10.04,69.02,0.56,43.02,47.28,44.21,40.08
3,100,0,130,1,18.17,1.13,154.77,128.49,2.12,0,9.11,9.02,2417.4,7.8,10,69.01,0.57,43.62,47.97,44.82,40.65
3,100,0,130,1,18.19,1.15,154.63,128.41,2.1,0,9.07,8.98,2415.8,7.8,9.96,69.14,0.56,44.2,48.55,45.38,41.09
3,100,0,130,1,18.13,1.17,154.52,128.29,2.1,0,9.02,8.94,2407.8,7.8,9.93,69.04,0.57,44.73,49.09,45.96,41.58
3,100,0,130,1,17.75,1.16,154.34,128.29,2.08,0,8.98,8.9,2403.8,7.79,9.91,69.26,0.57,45.25,49.56,46.45,41.99
3,100,0,130,1,17.62,1.18,154.29,128.08,2.06,0,8.95,8.87,2401.6,7.78,9.89,69.28,0.57,45.71,50.01,46.89,42.48
3,100,0,130,1,17.74,1.2,154.23,128.2,2.06,0,8.91,8.84,2397.8,7.78,9.86,69.44,0.58,46.11,50.49,47.35,42.8
3,100,0,130,1,17.62,1.2,154.06,127.94,2.06,0,8.89,8.82,2395.6,7.78,9.83,69.17,0.57,46.54,50.88,47.74,43.14
3,100,0,130,1,17.69,1.21,154.04,127.85,2.06,0,8.89,8.81,2394,7.77,9.8,69.26,0.58,46.91,51.28,48.08,43.45
3,100,0,130,1,17.88,1.24,153.94,127.72,2.05,0,8.86,8.79,2391.8,7.76,9.78,69.38,0.58,47.25,51.6,48.43,43.73
3,100,0,130,1,17.5,1.23,153.85,127.81,2.06,0,8.84,8.76,2388,7.77,9.76,69.5,0.59,47.53,52,48.77,44.05
3,100,0,130,1,17.68,1.26,153.77,127.66,2.06,0,8.82,8.74,2383.4,7.77,9.74,69.44,0.59,47.81,52.31,49.08,44.3
3,100,0,130,1,17.73,1.26,153.73,127.78,2.06,0,8.82,8.75,2379.8,7.76,9.7,69.35,0.61,48.06,52.59,49.33,44.46
3,100,0,130,1,17.92,1.29,153.75,127.66,2.06,0,8.83,8.76,2377.6,7.77,9.66,69.6,0.62,48.34,52.84,49.66,44.64
3,100,0,130,1,17.93,1.29,153.69,127.65,2.05,0,8.83,8.76,2374.4,7.76,9.63,69.66,0.61,48.55,53.07,49.87,44.87
3,100,0,130,1,17.93,1.3,153.67,127.54,2.05,0,8.83,8.76,2373.6,7.76,9.62,69.45,0.62,48.79,53.27,50.07,45.06
3,100,0,130,1,17.93,1.31,153.59,127.54,2.03,0,8.81,8.74,2372.8,7.76,9.61,69.61,0.63,48.97,53.45,50.28,45.21
3,100,0,130,1,18.34,1.35,153.42,127.31,1.94,0,8.8,8.73,2368,7.75,9.6,69.69,0.63,49.13,53.68,50.54,45.3
